"journeyID","journey_start","journey_end","journey_duration"
324,2015-08-23,2015-08-23,0
325,2015-06-21,2015-06-21,0
326,2015-08-03,2015-08-13,10
327,2016-03-08,2016-05-05,58
328,2016-06-22,2016-07-05,13
329,2016-10-07,2016-10-13,6
330,2015-06-02,2016-05-02,335
331,2016-06-05,2016-08-26,82
332,2016-09-25,2016-10-24,29
333,2015-12-11,2016-01-09,29
334,2015-06-06,2015-07-13,37
335,2015-07-22,2015-10-05,75
336,2016-01-15,2016-02-07,23
337,2016-03-16,2016-03-29,13
338,2016-05-24,2016-08-11,79
339,2015-10-13,2015-10-22,9
340,2015-12-06,2015-12-06,0
341,2016-01-21,2016-02-25,35
342,2016-03-27,2016-03-28,1
343,2016-04-30,2016-07-02,63
344,2016-08-18,2016-09-24,37
345,2015-06-10,2015-06-10,0
346,2015-10-15,2015-10-15,0
347,2015-12-15,2016-01-24,40
348,2016-02-24,2016-02-24,0
349,2016-03-26,2016-03-26,0
350,2016-07-08,2016-08-04,27
351,2016-10-14,2016-10-14,0
352,2015-10-24,2015-10-24,0
353,2015-12-08,2015-12-08,0
354,2016-01-18,2016-02-22,35
355,2016-07-10,2016-09-07,59
356,2016-10-30,2016-10-30,0
357,2015-06-01,2015-09-14,105
358,2015-10-13,2016-01-28,107
359,2016-03-24,2016-04-08,15
360,2016-05-07,2016-09-22,138
361,2015-06-05,2015-06-11,6
362,2015-07-12,2015-07-19,7
363,2015-08-19,2015-08-20,1
364,2015-10-08,2015-10-08,0
365,2015-11-12,2015-11-12,0
366,2015-08-01,2015-08-01,0
367,2015-06-24,2015-06-24,0
368,2015-11-21,2016-06-15,207
369,2016-08-04,2016-10-31,88
370,2015-06-01,2015-11-10,162
371,2015-12-10,2016-01-10,31
372,2016-02-24,2016-03-27,32
373,2016-06-22,2016-10-28,128
374,2015-06-07,2015-06-07,0
375,2015-06-01,2015-10-17,138
376,2015-10-18,2016-10-31,379
377,2015-07-16,2015-08-11,26
378,2015-11-12,2015-11-12,0
379,2016-01-01,2016-03-10,69
380,2016-06-04,2016-06-05,1
381,2016-07-10,2016-07-31,21
382,2016-09-12,2016-09-24,12
383,2015-06-03,2015-06-03,0
384,2015-08-07,2016-10-27,447
385,2015-07-12,2015-07-17,5
386,2015-09-05,2015-09-05,0
387,2015-12-19,2016-01-06,18
388,2015-06-30,2015-08-12,43
389,2015-10-13,2015-10-19,6
390,2016-02-07,2016-08-06,181
391,2015-06-14,2015-06-29,15
392,2015-07-29,2015-09-03,36
393,2015-10-18,2015-10-18,0
394,2015-12-15,2016-02-04,51
395,2016-08-12,2016-10-31,80
396,2015-09-14,2015-09-14,0
397,2016-07-24,2016-07-24,0
398,2015-12-21,2016-01-01,11
399,2015-06-12,2015-07-01,19
400,2015-07-10,2015-10-18,100
401,2016-04-26,2016-10-30,187
402,2016-03-12,2016-03-12,0
403,2015-06-15,2015-06-15,0
404,2015-08-29,2015-08-29,0
405,2016-03-13,2016-03-25,12
406,2015-10-06,2015-10-06,0
407,2016-10-19,2016-10-19,0
408,2015-07-06,2015-08-20,45
409,2016-02-08,2016-03-08,29
410,2015-07-05,2015-07-26,21
411,2016-08-02,2016-08-02,0
412,2015-06-01,2015-11-06,158
413,2016-02-09,2016-04-16,67
414,2016-09-16,2016-10-17,31
415,2015-06-01,2015-06-22,21
416,2015-07-29,2015-08-28,30
417,2015-06-20,2015-10-23,125
418,2015-12-25,2016-03-31,97
419,2016-05-27,2016-09-04,100
420,2015-07-07,2015-07-07,0
421,2015-08-21,2015-09-26,36
422,2015-10-27,2015-11-15,19
423,2016-01-02,2016-03-10,68
424,2016-04-28,2016-05-29,31
425,2015-06-01,2015-06-09,8
426,2015-06-13,2015-08-30,78
427,2015-11-15,2016-05-15,182
428,2015-09-01,2015-11-09,69
429,2016-05-20,2016-07-24,65
430,2016-09-04,2016-10-29,55
431,2016-04-26,2016-05-22,26
432,2015-06-04,2015-07-07,33
433,2015-08-09,2015-08-16,7
434,2015-11-03,2015-11-04,1
435,2015-11-23,2015-12-20,27
436,2016-02-21,2016-02-27,6
437,2016-05-23,2016-07-08,46
438,2015-07-05,2016-01-02,181
439,2016-02-15,2016-02-17,2
440,2016-04-24,2016-05-16,22
441,2015-06-06,2015-06-08,2
442,2016-01-03,2016-01-15,12
443,2016-02-23,2016-02-23,0
444,2016-07-17,2016-10-30,105
445,2016-10-12,2016-10-12,0
446,2015-11-11,2015-11-11,0
447,2016-02-20,2016-02-20,0
448,2016-03-28,2016-04-09,12
449,2016-06-12,2016-08-01,50
450,2016-10-24,2016-10-24,0
451,2016-06-17,2016-07-06,19
452,2015-06-08,2015-06-08,0
453,2015-07-18,2015-09-09,53
454,2015-12-16,2015-12-16,0
455,2016-01-12,2016-01-12,0
456,2016-02-22,2016-02-22,0
457,2015-06-15,2015-07-15,30
458,2015-12-08,2015-12-30,22
459,2016-02-13,2016-02-28,15
460,2016-04-24,2016-05-04,10
461,2016-06-12,2016-06-27,15
462,2016-08-01,2016-08-25,24
463,2016-10-18,2016-10-30,12
464,2015-06-01,2015-09-12,103
465,2015-10-26,2015-10-26,0
466,2015-11-24,2015-11-24,0
467,2016-01-13,2016-01-14,1
468,2016-04-05,2016-05-06,31
469,2016-06-27,2016-09-29,94
470,2015-09-04,2015-09-04,0
471,2015-07-28,2015-07-28,0
472,2015-08-27,2015-08-27,0
473,2015-11-04,2015-11-04,0
474,2015-12-03,2015-12-30,27
475,2016-04-21,2016-04-23,2
476,2016-07-21,2016-07-21,0
477,2015-11-08,2016-02-29,113
478,2015-06-08,2015-06-14,6
479,2015-07-24,2015-08-27,34
480,2015-09-14,2015-09-26,12
481,2016-02-26,2016-03-22,25
482,2016-05-16,2016-10-22,159
483,2015-07-10,2015-07-10,0
484,2015-06-03,2015-07-16,43
485,2015-07-17,2015-07-26,9
486,2015-08-25,2016-04-03,222
487,2016-05-18,2016-06-15,28
488,2016-07-31,2016-07-31,0
489,2015-07-10,2015-09-22,74
490,2015-10-24,2015-11-04,11
491,2016-02-28,2016-02-28,0
492,2016-05-27,2016-06-01,5
493,2015-06-01,2016-01-06,219
494,2016-06-02,2016-10-20,140
495,2015-12-23,2016-02-20,59
496,2016-07-24,2016-10-12,80
497,2015-10-05,2015-10-05,0
498,2015-06-02,2015-06-18,16
499,2016-03-03,2016-03-03,0
500,2016-06-25,2016-06-25,0
501,2015-08-26,2015-08-27,1
502,2016-01-20,2016-01-20,0
503,2016-03-29,2016-07-09,102
504,2016-09-03,2016-10-18,45
505,2015-06-01,2015-12-06,188
506,2016-01-12,2016-01-12,0
507,2016-02-17,2016-02-17,0
508,2016-06-13,2016-06-19,6
509,2015-06-16,2015-07-11,25
510,2015-08-03,2015-08-15,12
511,2016-01-27,2016-03-29,62
512,2016-06-27,2016-06-27,0
513,2016-10-28,2016-10-28,0
514,2015-06-19,2015-10-07,110
515,2016-01-07,2016-01-07,0
516,2016-02-09,2016-02-09,0
517,2016-04-26,2016-05-11,15
518,2016-07-16,2016-07-16,0
519,2015-06-01,2015-08-26,86
520,2015-09-25,2015-11-03,39
521,2016-03-26,2016-04-16,21
522,2015-08-23,2015-08-23,0
523,2015-10-17,2015-10-17,0
524,2016-01-01,2016-01-01,0
525,2016-08-10,2016-09-04,25
526,2015-11-02,2015-11-02,0
527,2015-06-21,2015-06-21,0
528,2015-08-30,2015-08-30,0
529,2015-10-02,2015-10-02,0
530,2015-12-11,2015-12-11,0
531,2016-01-30,2016-01-31,1
532,2016-03-08,2016-04-04,27
533,2016-05-21,2016-05-21,0
534,2015-06-01,2015-06-15,14
535,2015-07-16,2015-09-26,72
536,2016-01-14,2016-01-31,17
537,2016-03-27,2016-08-07,133
538,2016-09-07,2016-09-16,9
539,2015-06-01,2015-10-19,140
540,2015-11-21,2016-02-13,84
541,2016-04-07,2016-05-16,39
542,2016-06-21,2016-06-21,0
543,2016-07-28,2016-09-01,35
544,2016-03-20,2016-04-02,13
545,2015-09-23,2015-09-23,0
546,2015-10-14,2015-10-14,0
547,2015-06-16,2016-03-01,259
548,2016-01-29,2016-07-08,161
549,2015-06-07,2015-06-13,6
550,2016-01-24,2016-02-01,8
551,2016-03-19,2016-03-19,0
552,2015-07-03,2015-08-09,37
553,2015-10-04,2016-07-26,296
554,2016-09-22,2016-09-22,0
555,2015-06-15,2015-06-15,0
556,2015-07-25,2015-08-01,7
557,2015-12-14,2016-01-01,18
558,2016-02-08,2016-02-08,0
559,2016-09-21,2016-10-14,23
560,2015-12-20,2015-12-20,0
561,2016-03-20,2016-03-20,0
562,2015-06-16,2015-06-16,0
563,2015-06-01,2015-09-13,104
564,2015-09-15,2016-01-22,129
565,2016-05-03,2016-10-19,169
566,2016-01-23,2016-05-02,100
567,2015-06-09,2015-06-09,0
568,2015-11-01,2015-11-01,0
569,2016-05-04,2016-05-04,0
570,2015-06-29,2015-10-04,97
571,2015-12-02,2015-12-02,0
572,2016-01-07,2016-01-10,3
573,2016-03-23,2016-04-13,21
574,2016-05-29,2016-06-11,13
575,2015-06-17,2015-07-17,30
576,2015-08-23,2015-10-18,56
577,2015-12-26,2015-12-29,3
578,2016-04-20,2016-04-20,0
579,2016-08-03,2016-08-12,9
580,2016-09-18,2016-10-14,26
581,2015-06-01,2015-09-06,97
582,2015-12-28,2016-03-09,72
583,2015-09-05,2015-12-05,91
584,2016-09-18,2016-09-21,3
585,2016-06-19,2016-10-31,134
586,2016-02-17,2016-02-28,11
587,2015-07-10,2015-07-13,3
588,2015-11-27,2015-11-29,2
589,2016-01-13,2016-01-13,0
590,2016-05-26,2016-06-01,6
591,2016-07-11,2016-08-09,29
592,2015-08-19,2015-09-20,32
593,2015-06-16,2015-08-10,55
594,2016-10-05,2016-10-26,21
595,2015-10-22,2015-10-25,3
596,2015-06-19,2015-06-24,5
597,2015-07-27,2015-07-27,0
598,2015-09-02,2015-09-20,18
599,2015-10-23,2016-02-01,101
600,2016-03-16,2016-10-25,223
601,2015-08-03,2015-08-03,0
602,2016-08-08,2016-08-08,0
603,2015-06-25,2015-06-25,0
604,2015-09-05,2015-09-13,8
605,2016-03-08,2016-03-08,0
606,2016-08-05,2016-08-05,0
607,2016-09-12,2016-09-12,0
608,2015-09-13,2015-09-13,0
609,2016-03-31,2016-04-15,15
610,2016-05-16,2016-05-30,14
611,2016-06-10,2016-06-10,0
612,2016-08-18,2016-08-18,0
613,2015-06-03,2015-06-22,19
614,2015-08-18,2015-10-26,69
615,2015-12-06,2016-03-09,94
616,2016-05-23,2016-07-27,65
617,2015-07-22,2015-09-27,67
618,2015-10-01,2015-11-04,34
619,2015-06-08,2015-06-08,0
620,2015-10-04,2015-10-04,0
621,2016-01-19,2016-03-24,65
622,2016-05-09,2016-05-09,0
623,2016-06-29,2016-08-12,44
624,2016-09-12,2016-09-13,1
625,2015-06-28,2015-07-09,11
626,2015-06-16,2015-09-13,89
627,2015-10-26,2015-10-26,0
628,2016-01-19,2016-01-19,0
629,2016-09-12,2016-09-12,0
630,2015-07-02,2015-07-07,5
631,2015-09-01,2015-09-01,0
632,2015-10-02,2015-10-13,11
633,2016-01-15,2016-01-16,1
634,2016-04-01,2016-04-21,20
635,2015-10-16,2015-11-03,18
636,2015-12-06,2015-12-06,0
637,2016-01-31,2016-01-31,0
638,2016-10-23,2016-10-23,0
639,2015-12-06,2016-01-26,51
640,2015-06-04,2015-07-21,47
641,2015-08-04,2015-08-06,2
642,2015-09-15,2015-10-31,46
643,2016-01-21,2016-03-11,50
644,2016-05-19,2016-10-31,165
645,2015-07-31,2015-07-31,0
646,2016-04-05,2016-05-20,45
647,2016-06-27,2016-06-27,0
648,2016-07-27,2016-07-27,0
649,2015-06-07,2015-09-07,92
650,2015-10-12,2015-12-12,61
651,2015-06-29,2015-07-09,10
652,2015-06-01,2015-09-30,121
653,2015-10-31,2015-11-28,28
654,2016-01-02,2016-01-02,0
655,2016-02-11,2016-03-10,28
656,2016-04-08,2016-10-22,197
657,2016-01-28,2016-01-28,0
658,2016-07-13,2016-07-13,0
659,2015-12-11,2016-01-09,29
660,2016-06-18,2016-06-18,0
661,2016-10-25,2016-10-25,0
662,2016-01-13,2016-01-13,0
663,2015-11-17,2015-11-19,2
664,2015-07-08,2015-07-09,1
665,2015-06-01,2016-10-29,516
666,2015-06-10,2015-06-10,0
667,2015-12-12,2016-08-24,256
668,2016-09-26,2016-10-21,25
669,2015-07-02,2015-12-07,158
670,2016-01-08,2016-02-16,39
671,2016-03-30,2016-06-28,90
672,2016-10-19,2016-10-23,4
673,2015-07-21,2015-08-09,19
674,2015-06-09,2015-06-12,3
675,2016-01-20,2016-05-22,123
676,2016-07-26,2016-07-26,0
677,2016-10-19,2016-10-19,0
678,2015-06-21,2015-06-21,0
679,2015-06-01,2016-04-23,327
680,2016-06-18,2016-08-03,46
681,2015-06-20,2015-08-03,44
682,2015-07-06,2015-07-13,7
683,2015-09-07,2015-09-22,15
684,2015-10-21,2015-11-10,20
685,2015-12-22,2016-01-16,25
686,2016-05-07,2016-05-07,0
687,2016-07-06,2016-07-11,5
688,2016-08-28,2016-08-28,0
689,2016-10-06,2016-10-25,19
690,2015-06-14,2015-07-15,31
691,2015-08-14,2015-12-05,113
692,2015-06-09,2015-06-09,0
693,2015-10-04,2015-10-04,0
694,2015-12-27,2016-01-02,6
695,2016-07-04,2016-07-11,7
696,2015-06-03,2015-10-01,120
697,2015-10-03,2016-03-23,172
698,2016-05-02,2016-05-02,0
699,2016-07-08,2016-07-08,0
700,2016-10-10,2016-10-10,0
701,2015-08-18,2015-08-18,0
702,2015-07-03,2015-07-03,0
703,2016-08-06,2016-08-27,21
704,2015-06-03,2015-07-24,51
705,2015-08-04,2016-02-01,181
706,2015-07-25,2015-07-29,4
707,2016-02-10,2016-06-11,122
708,2016-06-12,2016-07-17,35
709,2016-06-06,2016-06-06,0
710,2015-06-05,2015-08-09,65
711,2015-11-05,2015-11-06,1
712,2015-12-23,2015-12-23,0
713,2016-02-17,2016-02-28,11
714,2016-05-02,2016-05-08,6
715,2016-06-23,2016-08-03,41
716,2015-12-23,2015-12-23,0
717,2015-06-28,2015-06-28,0
718,2015-07-28,2015-08-01,4
719,2015-10-23,2015-10-24,1
720,2016-03-10,2016-03-10,0
721,2016-07-22,2016-08-05,14
722,2016-10-14,2016-10-20,6
723,2015-06-12,2015-06-15,3
724,2015-07-17,2015-07-18,1
725,2015-12-24,2015-12-29,5
726,2015-06-03,2015-06-03,0
727,2015-10-15,2015-10-15,0
728,2016-01-21,2016-02-14,24
729,2016-09-09,2016-10-06,27
730,2015-06-02,2015-11-24,175
731,2016-01-02,2016-01-02,0
732,2016-06-15,2016-07-29,44
733,2016-10-31,2016-10-31,0
734,2015-08-08,2015-08-14,6
735,2015-10-11,2015-10-11,0
736,2015-06-06,2015-11-04,151
737,2016-02-09,2016-02-09,0
738,2016-03-18,2016-05-03,46
739,2016-07-14,2016-07-15,1
740,2016-10-25,2016-10-28,3
741,2015-06-21,2015-07-11,20
742,2015-08-25,2015-09-04,10
743,2015-10-03,2015-10-11,8
744,2016-10-06,2016-10-07,1
745,2016-01-15,2016-01-16,1
746,2015-06-08,2015-06-13,5
747,2015-08-07,2015-08-21,14
748,2015-11-02,2015-11-02,0
749,2016-03-08,2016-03-08,0
750,2015-08-30,2015-09-22,23
751,2016-04-15,2016-10-15,183
752,2015-06-05,2015-07-19,44
753,2015-09-20,2016-04-14,207
754,2016-10-15,2016-10-27,12
755,2016-07-05,2016-07-17,12
756,2015-07-02,2016-01-08,190
757,2016-01-21,2016-02-27,37
758,2016-03-28,2016-05-20,53
759,2016-07-25,2016-10-12,79
760,2016-02-01,2016-02-07,6
761,2016-02-13,2016-03-21,37
762,2015-09-06,2015-10-17,41
763,2015-11-23,2015-11-23,0
764,2016-03-28,2016-09-12,168
765,2015-06-07,2015-07-02,25
766,2015-09-22,2016-03-20,180
767,2015-07-05,2015-09-19,76
768,2016-03-21,2016-10-27,220
769,2016-04-08,2016-07-11,94
770,2015-06-01,2015-07-22,51
771,2015-09-05,2015-11-05,61
772,2016-01-20,2016-02-25,36
773,2016-10-20,2016-10-29,9
774,2016-09-17,2016-09-17,0
775,2015-08-19,2015-09-16,28
