"","UserID","region","municipality_size","household_size","GenderID","Age","employment","income","children_per_household","social_class","education","life_stage"
"80",8832,"4","4",4,"2",35,"9","3",2,"2","7","5"
"81",7296,"4","4",4,"2",35,"9","3",2,"2","7","5"
"82",72,"4","4",4,"2",35,"9","3",2,"2","7","5"
"83",7297,"1","7",2,"2",64,"2","5",0,"1","7","4"
"84",73,"2","5",3,"2",41,"2","3",2,"3","4","8"
"85",7298,"5","4",4,"2",44,"3",NA,2,"3","4","6"
"86",74,"5","4",4,"2",44,"3",NA,2,"3","4","6"
"87",75,"2","5",1,"1",58,"2","4",0,"2","7","2"
"88",76,"5","4",1,"2",74,"7","2",0,"5","2","2"
"89",77,"5","4",2,"2",58,"9","4",0,"4","2","4"
"90",7299,"5","4",2,"2",58,"9","4",0,"4","2","4"
"91",78,"5","4",5,"1",33,"2","4",3,"2","7","6"
"92",79,"3","6",1,"1",28,"1","1",0,"1","6","1"
"93",80,"2","4",4,"1",55,"2","5",1,"1","4","6"
"94",81,"5","4",3,"1",31,"2",NA,0,"3","4","7"
"95",7300,"2","4",4,"2",39,"9","5",2,"1","2","6"
"96",82,"2","5",4,"1",38,"2","5",2,"2","7","8"
"97",83,"2","6",1,"1",51,"3","4",0,"3","4","2"
"98",84,"5","4",1,"1",54,"2","3",0,"2","4","2"
"99",85,"2","4",3,"2",57,"9","4",0,"4","2","7"
"100",7301,"2","4",3,"2",57,"9","4",0,"4","2","7"
"101",9149,"2","4",3,"2",57,"9","4",0,"4","2","7"
"102",86,"2","6",5,"1",41,"2","7",3,"1","8","5"
"103",7302,"1","7",4,"2",38,"5","6",2,"1","8","5"
"104",87,"1","7",4,"2",38,"5","6",2,"1","8","5"
"105",88,"5","4",2,"1",26,"2","5",0,"1","8","3"
"106",7303,"2","6",1,"2",74,"7","4",0,"5","3","2"
"107",89,"2","5",6,"1",36,"2","2",4,"3",NA,"5"
"108",90,"5","4",3,"2",53,"2","3",0,"4","2","9"
"109",91,"2","6",2,"2",35,"2","2",1,"2","4","8"
"110",7304,"2","6",2,"2",35,"2","2",1,"2","4","8"
"111",92,"3","3",2,"2",27,"2",NA,0,"2","7","3"
"112",93,"1","9",1,"2",49,"5","4",0,"3","7","2"
"113",94,"4","4",1,"2",39,"3","4",0,"1","8","1"
"114",96,"2","4",2,"2",37,"2","5",0,"3","4","3"
"115",97,"4","6",2,"2",79,"7","2",0,"4","2","4"
"116",98,"4","4",5,"1",37,"2","5",3,"1","8","5"
"117",99,"3","5",3,"2",30,"2",NA,1,"2","4","5"
"118",100,"2","6",2,"2",47,"2","1",1,"1","8","8"
"119",101,"4","4",2,"2",68,"7","4",0,"4","4","4"
"120",103,"5","6",3,"1",36,"2","5",1,"3","4","5"
"121",105,"5","4",4,"1",38,"2","5",2,"1","5","5"
"122",106,"2","4",1,"2",73,"7","2",0,"5","3","2"
"123",107,"3","4",4,"1",40,"2","5",2,"2",NA,"6"
"124",108,"3","3",3,"1",24,"8","1",0,"1","4","7"
"125",109,"2","4",1,"2",50,"2","2",0,"2","5","2"
"126",110,"2","6",6,"1",39,"3","5",4,"2","4","5"
"127",7305,"4","5",2,"1",53,"4","5",0,"2","3","4"
"128",111,"5","2",2,"1",28,"2",NA,0,"2","6","3"
"129",113,"5","4",2,"1",38,"4","3",0,"5","2","3"
"130",7307,"5","4",2,"2",37,"2","7",0,"2","7","3"
"131",115,"5","4",2,"2",37,"2","7",0,"2","7","3"
"132",116,"3","6",1,"1",22,"8","1",0,"3","6","1"
"133",117,"4","4",2,"1",37,"2","5",0,"2","6","3"
"134",119,"4","4",3,"2",32,"2","5",1,"1","7","5"
"135",7308,"4","4",3,"2",32,"2","5",1,"1","7","5"
"136",120,"1","4",4,"1",39,"2","6",2,"2","1","6"
"137",121,"5","4",3,"1",32,"2","2",1,"2","7","8"
"138",122,"3","5",1,"2",31,"4","2",0,"4","4","1"
"139",123,"4","5",2,"1",27,"2","5",0,"1","8","3"
"140",124,"5","4",1,"1",57,"2","4",0,"2","4","2"
"141",7309,"1","6",2,"2",67,"2","4",0,"5","3","4"
"142",125,"1","6",2,"2",67,"2","4",0,"5","3","4"
"143",7310,"1","6",4,"2",41,"3","6",2,"1","7","6"
"144",126,"2","2",1,"1",29,"2","4",0,"2",NA,"1"
"145",7311,"5","4",4,"2",47,"2","5",2,"3","4","6"
"146",128,"2","6",2,"1",34,"2","4",0,"1",NA,"3"
"147",129,"2","6",4,"1",44,"2","4",2,"2","4","6"
"148",8833,"2","6",4,"1",44,"2","4",2,"2","4","6"
"149",7312,"2","6",4,"1",44,"2","4",2,"2","4","6"
"150",130,"5","4",3,"1",36,"2","4",1,"4","2","5"
"151",131,"4","4",4,"1",32,"3","5",2,"2","4","5"
"152",132,"4","6",4,"1",24,"5",NA,0,"2","6","7"
"153",133,"5","4",1,"2",20,"2","1",0,"2","4","1"
"154",134,"2","4",1,"1",36,"1","5",0,"1","7","1"
"155",135,"5","5",4,"2",48,"2",NA,0,"1","4","7"
"156",136,"1","8",3,"1",40,"2","2",1,"3","6","5"
"157",137,"4","6",3,"2",32,"2","6",1,"3","8","5"
"158",138,"2","6",2,"2",58,"2",NA,0,"4","3","4"
"159",139,"2","5",4,"2",49,"2","5",2,"2","3","6"
"160",140,"4","6",4,"1",44,"3",NA,2,"1","8","8"
"161",141,"5","4",4,"2",44,"2","5",2,"3","4","6"
"162",142,"3","5",1,"1",57,"2",NA,0,"2","7","2"
"163",143,"2","4",5,"1",47,"2","5",3,"1","4","6"
"164",144,"4","6",1,"2",30,"2","2",0,"1","8","1"
"165",145,"1","8",5,"2",52,"2","3",0,"2",NA,"9"
"166",147,"2","4",4,"1",43,"2","7",2,"2","7","6"
"167",148,"4","5",4,"2",45,"2","4",2,"3","6","8"
"168",149,"5","5",2,"1",56,"2","6",0,"3","3","4"
"169",7313,"3","3",2,"2",60,"9",NA,0,"1","6","4"
"170",151,"1","8",4,"2",46,"2","5",2,"2","7","8"
"171",152,"4","4",2,"1",69,"7","3",0,"5","2","4"
"172",153,"1","9",2,"2",72,"7","4",0,"2","3","4"
"173",154,"4","4",5,"1",38,"2","6",3,"3","6","6"
"174",155,"3","5",1,"2",45,"2","2",0,"2","7","2"
"175",157,"5","4",2,"1",59,"2","5",0,"1","8","4"
"176",158,"4","4",1,"1",82,"7","2",0,"2","6","2"
"177",159,"4","4",2,"1",67,"7","2",0,"2","6","4"
"178",160,"3","6",2,"2",53,"4","4",0,"3","3","4"
"179",7314,"3","6",2,"2",53,"4","4",0,"3","3","4"
"180",163,"2","4",2,"1",42,"2","4",0,"3","4","3"
"181",164,"5","6",1,"1",59,"2","5",0,"2","6","2"
"182",165,"3","6",3,"1",58,"2","7",0,"2","5","7"
"183",7315,"2","5",2,"2",62,"4",NA,0,"5","4","4"
"184",166,"2","5",2,"2",62,"4",NA,0,"5","4","4"
"185",167,"4","6",1,"2",29,"1","1",0,"1","7","1"
"186",168,"2","3",3,"2",55,"2","5",0,"2","4","7"
"187",169,"1","8",1,"2",53,"2","4",0,"3","3","2"
"188",171,"4","5",3,"2",58,"2","7",0,"1","5","7"
"189",172,"4","4",3,"1",39,"1","5",1,"3","6","5"
"190",173,"2","4",4,"2",47,"9","4",2,"2","4","6"
"191",175,"2","4",3,"2",31,"2","5",1,"1","6","5"
"192",176,"5","6",2,"1",44,"2",NA,0,"5","1","3"
"193",177,"5","4",4,"2",41,"2",NA,2,"1","3","6"
"194",7318,"4","4",2,"2",66,"7","2",0,"4","1","4"
"195",180,"4","4",2,"2",66,"7","2",0,"4","1","4"
"196",181,"3","5",2,"2",70,"7","5",0,"1","7","4"
"197",7319,"3","3",3,"2",33,"3",NA,1,"3","4","5"
"198",182,"2","4",3,"1",46,"3","5",1,"4","2","6"
"199",183,"4","6",1,"2",38,"2","2",0,"3","4","1"
"200",184,"3","4",1,"2",27,"3","2",0,"2","7","1"
"201",185,"2","6",2,"2",74,"7","3",0,"4","4","4"
"202",7320,"2","6",2,"2",74,"7","3",0,"4","4","4"
"203",187,"1","5",1,"2",30,"2",NA,0,"2","7","1"
"204",189,"2","5",3,"1",36,"2","3",1,"2","4","5"
"205",7321,"2","5",3,"1",36,"2","3",1,"2","4","5"
"206",190,"2","6",3,"2",50,"1",NA,0,"5","4","7"
"207",8835,"2","6",3,"2",50,"1",NA,0,"5","4","7"
"208",7322,"2","6",3,"2",50,"1",NA,0,"5","4","7"
"209",191,"4","6",8,"2",44,"2","6",2,"2","4","6"
"210",9659,"3","6",3,"2",54,"2","4",0,"4","4","7"
"211",7323,"5","4",2,"2",70,"7",NA,0,"2","4","4"
"212",192,"4","4",3,"2",28,"3","3",1,"3","6","5"
"213",194,"2","4",3,"2",43,"9",NA,1,"3","5","6"
"214",195,"5","4",1,"1",67,"1","5",0,"1","3","2"
"215",196,"5","6",1,"1",69,"7","7",0,"1","8","2"
"216",197,"4","6",1,"2",64,"4","2",0,"4","4","2"
"217",199,"2","4",5,"2",38,"1","3",3,"2","4","6"
"218",201,"2","4",1,"2",71,"7","2",0,"5","2","2"
"219",203,"5","2",2,"1",72,"7","5",0,"2","6","4"
"220",204,"4","6",2,"2",57,"2",NA,0,"4","4","4"
"221",205,"5","4",2,"1",74,"7","5",0,"2","6","4"
"222",206,"5","6",4,"2",22,"8",NA,0,"2","6","8"
"223",208,"5","4",4,"1",45,"2","6",2,"2","5","6"
"224",9575,"2","5",2,"2",69,"7","2",0,"2","6","4"
"225",7327,"4","4",4,"1",39,"5",NA,2,"3","7","5"
"226",209,"4","4",4,"1",39,"5",NA,2,"3","7","5"
"227",210,"2","6",3,"1",40,"2","6",1,"1","8","5"
"228",7328,"5","5",2,"1",76,"7","4",0,"2","5","4"
"229",211,"5","5",2,"1",76,"7","4",0,"2","5","4"
"230",8837,"5","4",4,"2",41,"2","4",2,"2","4","6"
"231",213,"5","4",4,"2",41,"2","4",2,"2","4","6"
"232",7329,"5","4",4,"2",41,"2","4",2,"2","4","6"
"233",9153,"5","4",4,"2",41,"2","4",2,"2","4","6"
"234",7330,"2","4",2,"2",27,"2","3",0,"3","4","3"
"235",214,"2","4",2,"2",27,"2","3",0,"3","4","3"
"236",220,"1","7",1,"1",71,"7","4",0,"5","3","2"
"237",7331,"2","6",1,"2",84,"9","2",0,"5","1","2"
"238",221,"5","4",3,"1",58,"2","6",0,"2","6","7"
"239",223,"1","9",1,"1",74,"7","2",0,"2","7","2"
"240",224,"1","8",2,"2",35,"2","5",0,"4","7","3"
"241",225,"2","5",2,"2",21,"2","1",0,"4",NA,"9"
"242",226,"4","4",1,"2",71,"7","3",0,"3","5","2"
"243",227,"5","6",2,"1",57,"2","6",0,"1","8","4"
"244",229,"4","5",1,"1",31,"2","4",0,"2","6","1"
"245",230,"5","4",5,"1",45,"2",NA,3,"3","4","6"
"246",232,"2","6",1,"2",80,"7","2",0,"4","4","2"
"247",233,"3","4",2,"2",27,"2","5",0,"2","5","3"
"248",236,"2","4",4,"2",50,"2",NA,2,"2","4","6"
"249",239,"4","6",1,"2",46,"2","3",0,"2","4","2"
"250",241,"4","5",1,"2",35,"2","4",0,"2","7","1"
"251",242,"5","4",1,"1",32,"2","5",0,"2","4","1"
"252",7336,"4","6",2,"2",56,"2",NA,0,"2","8","4"
"253",243,"4","6",2,"2",56,"2",NA,0,"2","8","4"
"254",244,"5","5",2,"2",60,"3",NA,0,"5","2","4"
"255",245,"5","6",3,"1",27,"2","7",0,"1","8","7"
"256",7337,"5","4",4,"2",33,"2","4",2,"3","4","5"
"257",7338,"2","4",2,"2",41,"4","4",0,"3","3","3"
"258",246,"2","4",2,"2",41,"4","4",0,"3","3","3"
"259",7340,"5","5",2,"2",77,"7",NA,0,"5","2","4"
"260",9660,"3","6",1,"2",67,"7",NA,0,"5","2","2"
"261",248,"5","5",2,"1",68,"7","4",0,"2","7","4"
"262",250,"2","2",4,"1",48,"2","6",2,"3","4","8"
"263",252,"1","7",3,"1",65,"7","7",0,"2","6","9"
"264",253,"5","5",2,"1",63,"4","5",0,"1","2","4"
"265",254,"1","9",2,"1",71,"7","7",0,"2","6","4"
"266",255,"1","9",1,"2",58,"5","1",0,"3","5","2"
"267",256,"1","8",2,"1",77,"7",NA,0,"5","2","4"
"268",257,"4","6",1,"1",55,"2","4",0,"2","4","2"
"269",258,"5","4",4,"1",31,"2","4",2,"3","4","5"
"270",259,"3","3",3,"2",41,"2","1",2,"2","5","8"
"271",7343,"1","9",2,"2",80,"9",NA,0,"5","3","3"
"272",260,"2","6",5,"1",46,"2","7",3,"1","7","6"
"273",261,"2","5",4,"2",42,"2","5",2,"1","6","6"
"274",7344,"2","5",4,"2",42,"2","5",2,"1","6","6"
"275",7345,"2","5",2,"2",71,"7","2",0,"5","3","4"
"276",263,"5","6",4,"1",37,"1",NA,2,"3","4","8"
"277",264,"4","4",3,"2",36,"2","2",1,"1","4","5"
"278",265,"4","4",3,"2",33,"2","4",1,"3","4","5"
"279",266,"4","4",3,"2",35,"2","5",1,"3","6","5"
"280",7347,"4","4",3,"2",45,"9","2",0,"4","2","7"
"281",267,"4","4",3,"2",45,"9","2",0,"4","2","7"
"282",268,"2","5",3,"2",46,"1",NA,1,"1","3","8"
"283",270,"3","5",4,"1",50,"2","6",1,"2","4","7"
"284",7349,"5","5",2,"2",71,"7","2",0,"4","2","4"
"285",271,"5","5",2,"2",71,"7","2",0,"4","2","4"
"286",272,"1","6",2,"2",75,"7","4",0,"2","3","4"
"287",7350,"1","6",2,"2",75,"7","4",0,"2","3","4"
"288",273,"3","5",1,"1",71,"7","2",0,"4","4","2"
"289",274,"5","5",2,"1",76,"7","5",0,"2","7","4"
"290",275,"2","5",2,"1",73,"7","5",0,"1","8","4"
"291",7351,"3","6",2,"1",72,"7","2",0,"5","3","4"
"292",276,"3","6",2,"1",72,"7","2",0,"5","3","4"
"293",277,"2","4",3,"1",63,"7","5",0,"5","3","7"
"294",279,"4","4",3,"1",82,"7","4",0,"5","2","7"
"295",281,"1","8",1,"2",73,"7","2",0,"2","6","2"
"296",282,"3","4",4,"1",46,"2","6",2,"2","6","8"
"297",283,"4","6",4,"2",33,"1",NA,2,"3","7","5"
"298",284,"2","4",4,"1",47,"1","5",1,"1","3","6"
"299",286,"2","5",4,"1",44,"2","7",2,"1","8","5"
"300",287,"4","4",3,"2",67,"7","4",0,"4","4","7"
"301",7352,"4","4",3,"2",67,"7","4",0,"4","4","7"
"302",288,"3","6",2,"1",35,"3","4",0,"4","4","3"
"303",291,"4","6",4,"2",31,"1",NA,2,"1","8","5"
"304",7357,"4","3",3,"2",59,"5","2",0,"4","8","7"
"305",292,"4","3",2,"2",24,"2","2",0,"3",NA,"3"
"306",293,"4","4",2,"2",29,"2",NA,1,"4","2","8"
"307",294,"5","5",2,"2",78,"7",NA,0,"5","3","4"
"308",295,"4","6",1,"1",47,"2","5",0,"2","6","2"
"309",296,"2","5",4,"2",49,"2","4",0,"1","2","7"
"310",9397,"2","4",5,"2",62,"9","3",0,"2","4","7"
"311",7358,"2","4",5,"2",62,"9","3",0,"2","4","7"
"312",297,"2","4",5,"2",62,"9","3",0,"2","4","7"
"313",9154,"2","4",5,"2",62,"9","3",0,"2","4","7"
"314",298,"5","5",2,"1",70,"7","5",0,"1","5","4"
"315",300,"4","6",4,"1",50,"2","6",0,"3","4","7"
"316",9156,"3","4",4,"2",46,"2","2",2,"3","4","8"
"317",7360,"3","4",4,"2",46,"2","2",2,"3","4","8"
"318",9398,"3","4",4,"2",46,"2","2",2,"3","4","8"
"319",302,"2","6",1,"2",32,"2","4",0,"2","7","1"
"320",303,"5","5",2,"2",52,"2",NA,0,"1","6","4"
"321",305,"4","4",1,"2",42,"4","1",0,"3","7","1"
"322",308,"3","3",1,"2",30,"2","2",0,"2","4","1"
"323",309,"2","5",2,"2",45,"9","2",0,"3","7","9"
"324",310,"2","4",4,"2",47,"4","4",1,"3","4","6"
"325",311,"5","3",2,"2",74,"7",NA,0,"1","4","4"
"326",7362,"5","3",2,"2",74,"7",NA,0,"1","4","4"
"327",312,"5","6",3,"1",53,"2","6",1,"1","8","8"
"328",315,"4","5",4,"2",39,"4","2",2,"2","4","6"
"329",7364,"5","6",2,"1",77,"7","3",0,"4","4","4"
"330",316,"5","6",2,"1",77,"7","3",0,"4","4","4"
"331",7365,"5","4",3,"2",42,"4","3",1,"2","2","6"
"332",8838,"5","4",3,"2",42,"4","3",1,"2","2","6"
"333",317,"2","5",1,"2",54,"2","2",0,"3","4","2"
"334",319,"4","4",2,"1",52,"1",NA,0,"1","6","4"
"335",321,"1","8",2,"1",62,"7","7",0,"3","5","4"
"336",323,"2","5",2,"1",71,"7","3",0,"4","4","4"
"337",324,"2","5",2,"2",73,"9","3",0,"4","2","4"
"338",326,"2","6",3,"2",31,"2","4",1,"2","7","5"
"339",327,"2","3",3,"2",39,"2",NA,1,"5","2","6"
"340",7369,"2","3",3,"2",39,"2",NA,1,"5","2","6"
"341",328,"4","4",4,"1",40,"2","5",2,"2","4","6"
"342",331,"3","4",1,"2",38,"6","1",0,"4","4","1"
"343",333,"2","4",3,"1",36,"2","4",1,"2","4","5"
"344",334,"5","4",3,"2",38,"2","5",1,"3","2","6"
"345",7372,"5","4",3,"2",38,"2","5",1,"3","2","6"
"346",7375,"3","6",4,"2",45,"2","2",0,"2","5","7"
"347",337,"5","4",4,"2",35,"2","5",2,"1","4","6"
"348",7377,"4","5",2,"2",38,"3","4",0,"1","8","3"
"349",339,"2","4",1,"2",75,"7",NA,0,"4","4","2"
"350",340,"2","4",2,"1",68,"7","5",0,"2","6","4"
"351",341,"5","4",4,"2",38,"2","6",2,"4","4","8"
"352",342,"2","6",2,"2",33,"2","6",0,"1","7","3"
"353",7379,"3","6",4,"2",37,"2",NA,2,"3","7","5"
"354",343,"5","4",3,"1",58,"3","5",1,"2","6","6"
"355",344,"4","5",2,"2",69,"7","3",0,"5","6","4"
"356",345,"5","5",4,"1",41,"2","5",2,"2","4","5"
"357",346,"2","5",1,"1",60,"1","5",0,"1","5","2"
"358",347,"4","4",5,"2",36,"2","5",3,"2","4","5"
"359",348,"2","4",3,"2",45,"3","6",1,"3","5","7"
"360",7380,"2","4",3,"2",45,"3","6",1,"3","5","7"
"361",349,"3","4",4,"2",43,"2","3",2,"5","4","6"
"362",7381,"3","4",4,"2",43,"2","3",2,"5","4","6"
"363",8840,"3","4",4,"2",43,"2","3",2,"5","4","6"
"364",350,"4","6",1,"1",66,"3","6",0,"3","3","2"
"365",351,"4","4",2,"1",32,"3","4",0,"4","4","3"
"366",7382,"4","4",2,"1",32,"3","4",0,"4","4","3"
"367",7384,"4","3",4,"2",42,"9","3",2,"3","3","5"
"368",353,"4","3",4,"2",42,"9","3",2,"3","3","5"
"369",354,"4","4",2,"1",80,"7","3",0,"5","2","4"
"370",355,"5","5",3,"1",58,"4","3",0,"4","2","7"
"371",356,"5","4",2,"2",65,"9","3",0,"4","3","4"
"372",9160,"5","4",2,"2",65,"9","3",0,"4","3","4"
"373",7386,"4","5",4,"2",41,"2",NA,2,"2","4","6"
"374",357,"4","5",4,"2",41,"2",NA,2,"2","4","6"
"375",358,"2","5",2,"2",71,"7","2",0,"3","5","4"
"376",362,"5","4",1,"2",30,"2","2",0,"2","7","1"
"377",9505,"2","3",2,"2",62,"9",NA,0,"5","2","4"
"378",363,"2","3",2,"2",62,"9",NA,0,"5","2","4"
"379",364,"2","4",2,"2",66,"7",NA,0,"2","3","4"
"380",7388,"1","5",2,"2",54,"2",NA,0,"4","2","4"
"381",365,"4","4",2,"2",46,"6","1",0,"5",NA,"9"
"382",7389,"4","4",2,"2",46,"6","1",0,"5",NA,"9"
"383",366,"5","4",2,"2",59,"2",NA,0,"5","2","4"
"384",369,"1","8",3,"1",51,"1","6",0,"1","4","7"
"385",371,"1","9",1,"2",26,"8","2",0,"3","7","1"
"386",373,"3","4",3,"2",52,"9",NA,0,"1","3","7"
"387",374,"1","6",1,"2",53,"4","1",0,"5","2","2"
"388",377,"2","5",2,"2",30,"8","3",0,"5","7","9"
"389",7393,"2","6",2,"1",70,"7",NA,0,"2","6","4"
"390",378,"2","6",2,"1",70,"7",NA,0,"2","6","4"
"391",380,"4","5",4,"1",38,"2",NA,2,"2","6","5"
"392",382,"2","6",1,"2",36,"2","3",0,"3","4","1"
"393",383,"5","6",4,"2",48,"2",NA,2,"3","4","6"
"394",9162,"4","4",4,"2",41,"2","4",2,"4","5","6"
"395",8842,"4","4",4,"2",41,"2","4",2,"4","5","6"
"396",384,"4","4",4,"2",41,"2","4",2,"4","5","6"
"397",385,"1","5",2,"2",65,"2","6",0,"3","4","4"
"398",387,"2","4",2,"1",75,"7","3",0,"3","5","4"
"399",7395,"2","4",2,"1",75,"7","3",0,"3","5","4"
"400",388,"4","4",5,"1",53,"2","5",0,"2","3","7"
"401",7396,"4","6",3,"2",52,"3","5",0,"2","4","7"
"402",389,"2","6",1,"2",28,"2","4",0,"1","8","1"
"403",390,"2","4",2,"2",36,"5","3",0,"2","6","3"
"404",7397,"2","4",2,"2",36,"5","3",0,"2","6","3"
"405",392,"2","5",2,"2",29,"4","5",0,"3",NA,"3"
"406",393,"5","5",3,"2",55,"9",NA,0,"3","4","7"
"407",7398,"5","5",3,"2",55,"9",NA,0,"3","4","7"
"408",394,"2","3",2,"2",32,"2","2",1,"2","6","8"
"409",395,"3","3",1,"2",52,"4","2",0,"4","4","2"
"410",396,"4","5",2,"2",42,"2","5",0,"4","4","3"
"411",397,"5","6",2,"2",61,"2","7",0,"1","3","4"
"412",7399,"5","4",2,"2",46,"9",NA,0,"3","4","4"
"413",398,"5","5",2,"1",64,"4","2",0,"5","3","4"
"414",7400,"5","5",2,"1",64,"4","2",0,"5","3","4"
"415",8843,"1","4",5,"2",32,"2","2",3,"1","4","6"
"416",399,"1","4",5,"2",32,"2","2",3,"1","4","6"
"417",7402,"1","4",5,"2",32,"2","2",3,"1","4","6"
"418",401,"5","4",3,"2",50,"2","6",1,"3","3","6"
"419",402,"3","4",2,"2",64,"2",NA,0,"2","4","4"
"420",7403,"3","4",2,"2",64,"2",NA,0,"2","4","4"
"421",403,"3","6",1,"1",60,"2","5",0,"2","5","2"
"422",404,"1","7",2,"2",73,"7","3",0,"5","3","4"
"423",407,"1","8",1,"2",32,"8","1",0,"3","8","1"
"424",408,"2","3",2,"1",65,"1","4",0,"2","2","4"
"425",409,"2","6",5,"1",40,"2","5",3,"3","4","6"
"426",7404,"2","4",2,"2",71,"7","3",0,"5","2","4"
"427",413,"4","6",2,"1",76,"7","3",0,"5","2","4"
